dealer_code,dealer_name,company_name,city,marketing_owner,contact_person,mobile_number,email
230,STOVE KRAFT LIMITES,STOVE KRAFT LIMITES,Banaglore,Praveen,Praveen,1123570101,Dummy@123
231,sukruta agencies,sukruta agencies,Banaglore,Praveen,Praveen,1123570102,Dummy@123
232,SUNDHAR,SUNDHAR,Banaglore,Praveen,Praveen,1123570103,Dummy@123
233,SWA INTERIORS,SWA INTERIORS,Banaglore,Praveen,Praveen,1123570104,Dummy@123
234,SWA KITCHENS,SWA KITCHENS,Banaglore,Praveen,Praveen,1123570105,Dummy@123
235,THE SMART HUB,THE SMART HUB,Banaglore,Praveen,Praveen,1123570106,Dummy@123
236,TRIBHUVAN,TRIBHUVAN,Banaglore,Praveen,Praveen,1123570107,Dummy@123
237,UNIQUE DESIGNS,UNIQUE DESIGNS,Banaglore,Praveen,Praveen,1123570108,Dummy@123
238,VENKATESH,VENKATESH,Banaglore,Praveen,Praveen,1123570109,Dummy@123
239,VINDYA,VINDYA,Banaglore,Praveen,Praveen,1123570110,Dummy@123
240,VINOTH,VINOTH,Banaglore,Praveen,Praveen,1123570111,Dummy@123
241,VISTA PANELS,VISTA PANELS,Banaglore,Praveen,Praveen,1123570112,Dummy@123
242,VISWA PANECRAFTS,VISWA PANECRAFTS,Banaglore,Praveen,Praveen,1123570113,Dummy@123
243,WOOD AND METAL INTERIOR,WOOD AND METAL INTERIOR,Banaglore,Praveen,Praveen,1123570114,Dummy@123
244,WOODPECKERS,WOODPECKERS,Banaglore,Praveen,Praveen,1123570115,Dummy@123
245,WOODTECH CONSULTANTS PVT LTD,WOODTECH CONSULTANTS PVT LTD,Banaglore,Praveen,Praveen,1123570116,Dummy@123
246,YN ARCHITECTS,YN ARCHITECTS,Banaglore,Praveen,Praveen,1123570117,Dummy@123
